"id";"line";"country";"code";"localityFR";"localityNL";"created_at";"updated_at"
194;194;"BE";"1671";"Elingen";"Elingen";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
195;195;"BE";"1673";"Beert";"Beert";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
196;196;"BE";"1674";"Bellingen";"Bellingen";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
197;197;"BE";"1700";"DILBEEK";"DILBEEK";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
198;198;"BE";"1700";"Sint-Martens-Bodegem";"Sint-Martens-Bodegem";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
199;199;"BE";"1700";"Sint-Ulriks-Kapelle";"Sint-Ulriks-Kapelle";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
200;200;"BE";"1701";"Itterbeek";"Itterbeek";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
201;201;"BE";"1702";"Groot-Bijgaarden";"Groot-Bijgaarden";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
202;202;"BE";"1703";"Schepdaal";"Schepdaal";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
203;203;"BE";"1730";"ASSE";"ASSE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
204;204;"BE";"1730";"Bekkerzeel";"Bekkerzeel";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
205;205;"BE";"1730";"Kobbegem";"Kobbegem";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
206;206;"BE";"1730";"Mollem";"Mollem";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
207;207;"BE";"1731";"Relegem";"Relegem";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
208;208;"BE";"1731";"Zellik";"Zellik";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
209;209;"BE";"1733";"HighCo DATA";"HighCo DATA";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
210;210;"BE";"1740";"TERNAT";"TERNAT";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
211;211;"BE";"1741";"Wambeek";"Wambeek";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
212;212;"BE";"1742";"Sint-Katherina-Lombeek";"Sint-Katherina-Lombeek";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
213;213;"BE";"1745";"Mazenzele";"Mazenzele";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
214;214;"BE";"1745";"OPWIJK";"OPWIJK";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
215;215;"BE";"1750";"Gaasbeek";"Gaasbeek";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
216;216;"BE";"1750";"LENNIK";"LENNIK";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
217;217;"BE";"1750";"Sint-Kwintens-Lennik";"Sint-Kwintens-Lennik";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
218;218;"BE";"1750";"Sint-Martens-Lennik";"Sint-Martens-Lennik";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
219;219;"BE";"1755";"GOOIK";"GOOIK";"2018-07-25 09:00:39";"2018-07-25 09:01:31"
220;220;"BE";"1755";"Kester";"Kester";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
221;221;"BE";"1755";"Leerbeek";"Leerbeek";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
222;222;"BE";"1755";"Oetingen";"Oetingen";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
223;223;"BE";"1760";"Onze-Lieve-Vrouw-Lombeek";"Onze-Lieve-Vrouw-Lombeek";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
224;224;"BE";"1760";"Pamel";"Pamel";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
225;225;"BE";"1760";"ROOSDAAL";"ROOSDAAL";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
226;226;"BE";"1760";"Strijtem";"Strijtem";"2018-07-25 09:00:40";"2018-07-25 09:01:31"
